,duration,,reschedule,,kick,,wake_up = true,,wake_up = false,
,without COOP,COOP,without COOP,COOP,without COOP,COOP,without COOP,COOP,without COOP,COOP
1,37.188454385,37.197107392,111,84,15,0,60,42,2000052,1999997
2,19.868158438,19.840508659,432404,74,528017,9,528049,522177,1416217,1396043
4,10.589671858,10.679553222,648069,31,717223,9,717225,629845,949386,1031835
8,10.276367314,10.305731288,377835,89,461783,1,461782,387192,1063266,1149368
16,10.320721184,10.286990267,309116,15,371242,1,371243,315081,1132643,1173284
32,10.310908439,10.347169518,262141,76,318490,0,318520,258471,1160968,1208483
64,10.295861101,10.274360445,292664,50,351114,0,351115,380015,1198456,1192988
