,Without COOP,,,,,With COOP,,,,
Depth,IOPS,clat (avg) (us),clat (99) (us),cs,cs / sec,IOPS,clat (avg) (us),clat (99) (us),cs,cs / sec
1,123705,31.1,53,74372241,123953.7,127913,30.1,54,76885313,128142.2
2,159804,48.0,77,48003893,80006.5,161858,47.4,77,48604493,81007.5
4,212761,73.6,52,497053,828.4,215314,72.7,44,494789,824.6
8,213574,145.7,57,308403,514.0,215362,144.9,62,307887,513.1
16,208240,302.4,9110,307210,512.0,208530,301.7,9110,309956,516.6
32,210358,603.7,21627,308767,514.6,213367,595.8,21627,308554,514.3
64,215776,1183.3,24249,306666,511.1,211715,1205.5,24249,308178,513.6
