,FORCE_ASYNC,,,normal,,
,IOPS,avg lat,p99 lat,IOPS,avg lat,p99 lat
1,53892.62,17.96,21,74685.52,12.89,18
2,104989.31,18.52,25,128137.89,15.14,22
4,190060.4,20.46,30,218035.08,17.29,30
8,308791.6,25.31,40,222282.39,34.91,47
16,311222.75,50.85,71,222496.61,70.93,90
32,309278.81,102.91,139,227143.16,139.88,153
64,312404.59,204.34,273,222957.79,286.01,302
