# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 722242491911
#
# Children      Self       Samples  Command          Shared Object     Symbol                                   
# ........  ........  ............  ...............  ................  .........................................
#
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00007ffe74cc5c30
     0.00%     0.00%             1  fio              [kernel.vmlinux]  [k] put_pid.part.0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001be89744
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002c788e52
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003a9756ec
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000045b29d2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000004591a63
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000010c0c392
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002893ebe9
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000035b4cc90
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000005dbdebd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000366a09c3
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000034858e31
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002ce1a27c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000032874ca
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001255e431
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000009e66388
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001a705af4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000032b9a6f8
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000010dd87ff
     0.00%     0.00%             1  fio              [kernel.vmlinux]  [k] get_nohz_timer_target
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001855a736
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000083b3abc
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000025727f2c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000004d52a4d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003b314768
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000d2bd1b3
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000005b8cb84
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000669c00b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002edc334f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001e97f43b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002cdc9896
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001c151958
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000300d3336
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000166acaa4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000379c8fe6
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000024d65b4d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003b3443ec
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000006bd2d4a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000032d8a870
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000bcbbf9d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000012ac2ea9
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000006bff075
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000045a212b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001f30610f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003861ef7a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001e45cd07
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000336fa55d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000374fdf63
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002e89c4e0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000305886f1
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000017e3777d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001e713fbd
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000034089e24
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000375388dc
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000203e931c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000005d2ee93
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000039679cca
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002b485bd8
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000038b02dc0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001669bcd7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001ddc4ea0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000246c02ee
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003585f7f0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000142653f4
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715f280
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000229e0083
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000018c9f57a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000d7a649a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000021725187
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000007edccdb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002e134736
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003584ed7b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000027644020
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715eec0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000017034cd0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001caaee9c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000391a3798
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001832b03a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000329fd0e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000c87f486
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000019cc0aeb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000021418888
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000163cea6b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000144fd22c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001f0ad932
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002d11296b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000023a4cc25
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000022a0ee6f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002df632a9
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000002bd4d80
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002ce61742
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000e5fd2df
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000281cf454
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000ac679c4
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002500c125
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002ed9cefd
     0.00%     0.00%             1  fio              [kernel.vmlinux]  [k] update_vsyscall
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] tick_do_update_jiffies64
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] tick_sched_do_timer
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] timekeeping_advance
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] timekeeping_update
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] update_wall_time
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003539b22d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000007ec3575
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000019915092
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000027d4a789
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000104a2b07
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002e14a6ab
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000335499f8
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002255580c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003b2b097c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001a666dd2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003a7973d5
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000034560341
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000374b931
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000020d72608
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000029c6922e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003707a5e7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000248a216c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000022bfd7ab
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000039b697df
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000024213718
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001dac4709
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000f8a8c9b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000000a8f1eb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000016b6b5e4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000007857664
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000256dc084
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000867fe71
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000032bbadb1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000014a1eb07
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001ff1ff4c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002acb8d32
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000037e8822f
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] __get_user_8
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001cd7fed0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000193ab36e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003159da69
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000036b82947
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001508e8ad
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000c6a37ad
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001ddac395
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000366a0b15
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000a9ff13c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003b30a881
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001b00bf44
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002f448fd1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002bfc28d1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000374029f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000009984af6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000334da853
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001ae0e247
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000002e06a45
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000014c215d4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000033c11ac4
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000605b123
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000035347a42
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000302ccdcc
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000029caf992
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002cc32082
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001a49a4f2
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] should_failslab
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000019ff7371
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002714c1b6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002521d22e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003a7959f4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002a7bf1c0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000039f90466
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000018349629
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003880ba35
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000026cf72ec
     0.00%     0.00%             1  perf             [kernel.vmlinux]  [k] add_wait_queue
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] __pollwait
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] __x64_sys_poll
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] do_sys_poll
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] perf_poll
     0.00%     0.00%             0  perf             libc.so.6         [.] __poll
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000013d93326
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000036b75446
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000015804980
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000035b4b500
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002738ad95
     0.00%     0.00%             1  fio              [kernel.vmlinux]  [k] irq_fpu_usable
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] blake2s_compress
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] blake2s_update
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001a492f29
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002a6295cb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000026eaddf3
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000cb2a799
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001ddcb70d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000003ea5171
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000003a2da267
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000026a3d646
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000045bbc5d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002897b7b1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000027640ca5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003942bb0e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000014079524
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000226eed00
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001d44a6f1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000294f53b0
     0.00%     0.00%             1  perf             [kernel.vmlinux]  [k] preempt_count_add
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] in_lock_functions
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002e8fdfbb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002ce135bb
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000094c8aed
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000033529d7c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000269a8b2d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000006bc7a7f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000b18be18
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002e8bbddb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000289762f1
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000031a0bb51
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001f08ee06
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000026e84ba7
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001a47c71d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000364d44c2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000017705cb9
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000021705250
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000248d5d8a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000ea7e41e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000f15ead1
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002c0099dd
     0.00%     0.00%             1  fio              [kernel.vmlinux]  [k] policy_node
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000004d42745
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000299be805
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000038185785
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000284d36db
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000cff93ad
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000017bd468b
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002930499c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002ce204dd
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000030c0de34
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001b64551e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000d98213d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000031a23390
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002489d7e5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001e7668b9
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000036e653c0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000025ba896e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000999a59c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000001da41d2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001db03120
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000f15f234
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000000c74b31
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000003c1ae62
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000003a98b014
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000026ea9cbb
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001cab720d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000d963ab8
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001f0ecd11
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000033c08d68
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000018eaa8db
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000281d5c46
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000b811edc
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001afde5c2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000070805e6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000017e1d432
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000300c72ae
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001585a82b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001e2ac1ae
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002c99d3fc
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000022a1e820
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000138c2626
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000019653357
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002da97015
     0.00%     0.00%             1  fio              [kernel.vmlinux]  [k] __d_lookup_rcu
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] lookup_fast
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] walk_component
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000039ff16bf
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000c695c3f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001981e0c0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000245c1d2
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002bb4965d
     0.00%     0.00%             1  fio              [kernel.vmlinux]  [k] native_write_msr
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] intel_pmu_enable_all
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] x86_pmu_enable
     0.00%     0.00%             0  fio              [kernel.vmlinux]  [k] trigger_load_balance
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001c60e90f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000ffdc5fb
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001cac9a9a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001177f69f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000225442b8
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000022c45fb4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000294db075
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000001d8670e
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000016b53c99
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000001d9e66a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001f5ace5e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002af8e3ba
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000028e227e4
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000009015b8c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000d743417
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000066bb1fc
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000003a3fd36
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000003281fcd
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000023cde9fd
     0.00%     0.00%             1  perf             [kernel.vmlinux]  [k] percpu_counter_add_batch
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] ext4_claim_free_clusters
     0.00%     0.00%             0  perf             [kernel.vmlinux]  [k] ext4_da_reserve_space
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000007ee2911
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000222732c7
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000019181366
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001fc9609d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002a7f7bf0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000022a24be6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000021410cb5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000155af65c
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000035b6de08
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000673adde
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000018049095
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000027aedd36
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002653c150
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001cfa43bd
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000026368a6c
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000004cfe21a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000353ae972
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002fc0fec6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000032238b40
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000fda569b
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000e338dc0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000235708b8
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000007eaa9d3
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000dc6192d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002551ae82
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000038cddcc7
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000101759a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000039fe6fba
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000fdd4931
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001b7b32ac
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000d2db495
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001b7badb0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000028e51c53
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000026ed0c8e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000f8df382
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000023861b9f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000eac465a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001f5a75d9
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001d1624e6
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000673d9ff
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000998a0c9
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001b762440
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000326f403f
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000019ced26e
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000bfcf83f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000005e82d8
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000001bc8d736
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002c95cdc0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000142d3f36
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000001c6ca7ff
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000198668aa
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000cb5e9d5
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000001415999
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000002737af9a
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000003c4e712
     0.00%     0.00%             0  fio              [unknown]         [k] 0x00000000189f7d8d
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000a527e97
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000297e3c5f
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002a7ff5a2
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000acc3d39
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000008ab5a2d
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000037507af0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000002a9a3a
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000002d2dc9ad
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000039ff01b0
     0.00%     0.00%             0  fio              [unknown]         [k] 0x000000000e5b6a78
     0.00%     0.00%             0  fio              [unknown]         [.] 0x0000000019172cb0
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000294cd559
     0.00%     0.00%             0  fio              [unknown]         [.] 0x000000000bd0f105
     0.00%     0.00%             0  fio              [unknown]         [k] 0x0000000021bd0420
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000058b8731
     0.00%     0.00%             0  fio              [unknown]         [.] 0x00000000353e3085
