# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 722242491911
#
# Children      Self       Samples  Command          Shared Object     Symbol                                   
# ........  ........  ............  ...............  ................  .........................................
#
     3.31%     0.25%           148  fio              [kernel.vmlinux]  [k] __iommu_map
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715a6d0
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715a740
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715a7b0
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715a820
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715a890
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715a900
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715a970
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715a9e0
     3.22%     0.00%             0  fio              [unknown]         [.] 0x000055f9f715aa50
     3.22%     0.00%             0  fio              [unknown]         [.] 0x00007faba4744c80
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71587b0
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158820
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158890
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158900
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158970
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71589e0
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158a50
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158ac0
     3.17%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158b30
     3.17%     0.00%             0  fio              [unknown]         [k] 0x00007fabad1702c0
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b130
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b1a0
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b210
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b280
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b2f0
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b360
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b3d0
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b440
     3.16%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b4b0
     3.16%     0.00%             0  fio              [unknown]         [k] 0x00007faba47a22c0
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b660
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b6d0
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b740
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b7b0
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b820
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b890
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b900
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b970
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715b9e0
     3.15%     0.00%             0  fio              [unknown]         [k] 0x00007faba47d0de0
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715ac00
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715ac70
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715ace0
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715ad50
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715adc0
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715ae30
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715aea0
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715af10
     3.15%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715af80
     3.15%     0.00%             0  fio              [unknown]         [k] 0x00007faba47737a0
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a1a0
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a210
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a280
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a2f0
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a360
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a3d0
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a440
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a4b0
     3.14%     0.00%             0  fio              [unknown]         [k] 0x000055f9f715a520
     3.14%     0.00%             0  fio              [unknown]         [k] 0x00007faba4716160
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157d50
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157dc0
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157e30
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157ea0
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157f10
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157f80
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157ff0
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7158060
     3.12%     0.00%             0  fio              [unknown]         [.] 0x000055f9f71580d0
     3.12%     0.00%             0  fio              [unknown]         [.] 0x00007fabad112c80
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159740
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71597b0
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159820
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159890
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159900
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159970
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71599e0
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159a50
     3.12%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7159ac0
     3.12%     0.00%             0  fio              [unknown]         [k] 0x00007faba46b8b20
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158280
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71582f0
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158360
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71583d0
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158440
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f71584b0
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158520
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158590
     3.11%     0.00%             0  fio              [unknown]         [k] 0x000055f9f7158600
     3.11%     0.00%             0  fio              [unknown]         [k] 0x00007fabad1417a0
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157820
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157890
     3.11%     0.00%             0  fio              [unknown]         [.] 0x000055f9f7157900
